ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
295892040,2,Квартира,м. Первомайская (5 мин пешком),"Москва, 9-я Парковая улица, 5",50.0/35.0/8.0,"5/12, Блочный",наземная,"68000.0 руб./ За месяц, Залог - 68000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79190508124, +79108413002","Сдаем чистую квартиру, комнаты смежные, рассмотрим до 3 человек, можно с 1 ребенком от 7 лет, строго без животных. В квартире: газовая плита, тв, стиралка, пылесос, душевая кабина, свч, кондиционер, диван и кровать. показ и заезд после 20 мая., 13 фото",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.6,Пасс (2),Да,https://www.cian.ru/rent/flat/295892040
317868799,"2, Изолированная",Квартира,м. Измайлово (13 мин пешком),"Москва, Мироновская улица, 9/28",46.0/31.0/8.0,"9/12, Кирпичный",наземная,"69000.0 руб./ За месяц, Залог - 35000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230741780,"Сдаю прекрасную 2-х комнатную квартиру недалеко от Измайловского парка. Квартира полностью меблирована,  заезжай и живи. Удобная планировка. Чистый подъезд, обустроенный двор, отличная инфраструктура района. Тихие соседи. Оперативный показ., 14 фото",Косметический,,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.6,Пасс (2),Да,https://www.cian.ru/rent/flat/317868799
317725631,"2, Оба варианта",Квартира,м. Новогиреево (2 мин пешком),"Москва, Зеленый проспект, 60/35",45.0/28.0/6.5,7/9,наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79894080736,"ВНЕСЕН АВАНС ДО 16 часов 25 МАЯ!!!
Сдается прекрасная ЕВРО ДВУШКА прям у входа в метро Новогиреево!!! 
Кухня/гостиная + спальня + гардеробная, совмещенный санузел с душевой кабиной. 
В квартире есть всё: 
-кровать 1,6х2, диван, столы, стулья, зеркала, шкафы и полки. 
Техника: 
-два телевизора 46"", два дизайнерских кондиционера, пылесос, утюг, встроенный холодильник и микроволновая печь, плита, СМА...
В квартире не идеально свежий, но стильный дизайнерский ремонт в хорошем смысле слова ДИЗАЙНЕРСКИЙ. Балкон не застеклен. 
Чистый отремонтированный подъезд без посторонних запахов, новый лифт!
Важнейший бонус: -расположение, 20 (двадцать) МЕТРОВ от входа в метро Новогиреево, до подъезда. Кирпичный дом-зимой очень тепло, окна смотрят строго на запад откуда по вечерам открывается вид на прекрасный закат. 
Парковка наземная за шлагбаумом!
СУПЕР АДЕКВАТНЫЙ СОБСТВЕННИК!!!!!!!!!!
Идеальный вариант для холостяка или молодой пары без детей и домашних питомцев. Звоните в любое время, уважаемые клиен ..., 26 фото",Дизайнерский,,Балкон (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),Да,https://www.cian.ru/rent/flat/317725631
317799016,"2, Оба варианта",Квартира,м. Щёлковская (7 мин пешком),"Москва, 5-я Парковая улица, 64К4",48.0/8.0,4/5,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230754187,"Уютная, светлая ,тихая квартира, свежий ремонт. Полностью с мебелью, готова к проживанию. Желательно семейная пара. Дом с лифтом . Балкон . Парковка во дворе. Удобная транспортная доступность , 7 мин до метро Щелковская., 14 фото",Евроремонт,,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник",,,Пасс (1),,https://www.cian.ru/rent/flat/317799016
317059695,3,Квартира,м. Перово (20 мин пешком),"Москва, шоссе Энтузиастов, 76/1",80.8/54.0/8.0,"5/10, Кирпичный",,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79152558087,"Сдается просторная трехкомнатная квартира на шоссе Энтузиастов, 76/1. Общая площадь составляет 80,8 кв. м, из которых 54 кв. м - жилая. 2 спальни изолированы. Кирпичный дом, высокие потолки, солнечная  сторона. В квартире установлен кондиционер!
В квартире косметический ремонт. Ванная комната оборудована ванной и стиральной машиной, санузел раздельный. 
Дом расположен в удобном районе с развитой инфраструктурой. В шаговой доступности находятся школы, детские сады, клиники и магазины. До станции метро ""Перово"" можно дойти за 20 минут пешком, что делает передвижение по городу удобным.
Условия аренды: квартира сдается на длительный срок. Подходит для семейных пар или группы из нескольких человек. Возможна аренда с детьми. Проживание с животными обсуждается.  Оплата по договору плюс счетчики.
Звоните и записывайтесь на просмотр. Это отличная возможность арендовать комфортное жилье в районе с развитой инфраструктурой!, 14 фото",Косметический,,,,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник",,,Пасс (2),,https://www.cian.ru/rent/flat/317059695
317505380,"3, Изолированная",Квартира,м. Бульвар Рокоссовского (10 мин пешком),"Москва, проезд 3-й Подбельского, 18",78.0/46.0/7.0,"3/5, Кирпичный",,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79853318550,"Вашему вниманию предлагается  просторная, теплая, функциональная, трехкомнатная квартира в шаговой доступности от метро. Квартира  расположена на комфортном 3 этаже. Полностью готовая  к комфортному проживанию. В комнатах есть вся необходимая мебель, телевизор. Два застекленных балкона, санузел раздельный, высокие потолки 3 метра, стеклопакеты, два кондиционера. Оборудовано очень много мест хранения. Кухня оборудована полным комплектом бытовой техники: варочная панель, духовой шкаф, холодильник, стиральная машина. Окна выходят в тихий уютный двор. 
 Вся инфраструктура в шаговой доступности: школа, детский сад, магазины, фитнес клубы, ТЦ и тд.
На длительный срок (от года). Арендная плата+ счетчики., 36 фото",Евроремонт,,Балкон (2),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник",,3.0,,,https://www.cian.ru/rent/flat/317505380
317506990,"2, Изолированная",Квартира,м. Новогиреево (8 мин пешком),"Москва, Федеративный проспект, 22К1",56.0/33.0/8.0,"4/5, Кирпичный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79160585565,"2-х ком. квартира с отличным ремонтом, сдается на длительный срок. Все необходимое для комфортного проживания имеется. Одна из комнат полностью оборудована. Другая по согласованию с арендатором.. Соседи культурные. Район обжитой, все для полноценной жизнедеятельности находится рядом. Залог можно разбить. оперативный показ, ключи на руках!, 15 фото",Дизайнерский,,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник",,2.7,,,https://www.cian.ru/rent/flat/317506990
317770394,"2, Изолированная",Квартира,м. Черкизовская (10 мин пешком),"Москва, Большая Черкизовская улица, 30К2",43.0/31.0/7.0,3/5,наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230755073,"ВАШЕМУ ВНИМАНИЮ!
Цена актуальна, без скрытых платежей!

Квартира после капитального ремонта, качественная сантехника, замена проводки, все сделано на высшем уровне! ЗВУКОИЗОЛЯЦИЯ!
Ремонт делался под руководством опытного дизайнера, детали продуманы до мелочей!
Дом кирпичный, а это значит, что зимой в нем тепло, а летом нет удушающей жары.
Удобная и функциональная кухня со всей необходимой бытовой техникой. В спальне большая кровать с ортопедическим матрасом и постельными принадлежностями. 
Уютный французский балкончик, тихий и зеленый район, во дворе всегда есть место для парковки. Приличные соседи. 
Благоустроенный район. Удобная транспортная развязка. Рядом все необходимые магазины,  школы и детские сады, стадион ""Локомотив"", Черкизовский пруд. 
Проживание с питомцами обсуждается в индивидуально порядке. 

Звоните, отвечу на все вопросы., 17 фото",Евроремонт,,"Балкон (1), Лоджия (1)",Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/317770394
317852188,"3, Оба варианта",Квартира,м. Белокаменная (22 мин пешком),"Москва, Миллионная улица, 12",68.0/45.0/8.0,3/5,наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79856229199, +79230712339","Сдается в аренду просторная трехкомнатная квартира площадью 68 кв. м на третьем этаже пятиэтажного дома. Квартира расположена в уютном районе, всего в 22 минутах пешком от станции метро Белокаменная. Жилая площадь составляет 45 кв. м, а кухня — 8 кв. м, что отлично подходит для комфортного проживания.

Квартира с дизайнерским ремонтом, который подчеркнет вашу индивидуальность и создаст атмосферу уюта. В наличии вся необходимая мебель как на кухне, так и в комнатах. Из техники есть кондиционер, холодильник, телевизор, посудомоечная и стиральная машины — все, что нужно для вашего удобства. Санузел совмещенный, оборудован современной душевой кабиной. Окна выходят как во двор, так и на улицу, что обеспечивает хорошую освещенность и возможность наслаждаться видом.

Дом находится в хорошем состоянии, с наземной парковкой для вашего автомобиля. В подъезде установлен пандус для удобного доступа. Интернет и телефонная связь подключены, поэтому вы всегда будете на связи.

Рядом с домом расположе ..., 27 фото",Дизайнерский,,,На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,,,https://www.cian.ru/rent/flat/317852188
317294064,"2, Смежная",Квартира,м. Измайлово (10 мин пешком),"Москва, Борисовская улица, 1",85.0/55.0/18.0,2/17,подземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79850550180,"Сдаётся впервые просторная 2 комнатная квартира-студия в Измайлово на длительный срок. Осмотр возможен по предварительной договоренности.
---Квартира полностью укомплектована мебелью (диван в комнате раскладывается) и бытовым оборудованием: Холодильник, Электро панель с духовым шкафом, посудомоечная машина, стиральная машина, кондиционер, 3 TV, WiFi, мелкие бытовые приборы. Теплые полы, несколько уровней подсветки, посудомоечная машина, кондиционер и т.д. дополняют уют и комфорт. 
---Дом бизнес класса с подземным паркингом и наземной парковкой под шлагбаум, презентабельной входной группой, с консьержем, с продуктовым магазином, салоном красоты, рестораном и т.д.
---В пешей доступности Измайловский Парк и несколько станций метро.
Залог можем разбить на несколько частей. Более подробная информация при обращении., 11 фото",Дизайнерский,,,,Совмещенный (2),,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,"Пасс (1), Груз (1)",,https://www.cian.ru/rent/flat/317294064
317753494,"2, Изолированная",Квартира,м. Перово (13 мин пешком),"Москва, 2-я Владимирская улица, 10",40.0/30.0/7.0,9/9,наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79843305920,"Двухкомнатную квартиру м.Перово, ул.2-я Владимирская, в пешей доступности от метро, квартира после хорошего ремонта, комнаты изолированные, застеклённый балкон, современная мебель, бытовая техника, кондиционер,  до двух человек, без детей и животных.
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону, 14 фото",Евроремонт,,Балкон (1),,Раздельный (1),,"Мебель в комнатах, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (2),Да,https://www.cian.ru/rent/flat/317753494
317442104,"2, Изолированная",Квартира,м. Новогиреево (11 мин пешком),"Москва, Мартеновская улица, 23",42.4/27.7/5.3,2/5,,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79853253183,"Сдается светлая, просторная 2-ух комнатная квартира!( КОМНАТЫ РАЗДЕЛЬНЫЕ!) В квартире имеется вся необходимая мебель и бытовая техника для комфортного проживания. Развитая инфраструктура. Залог можно разбить на два месяца. Рассмотрим порядочных и платежеспособных людей. Звоните отвечу на все интересующие Вас вопросы., 25 фото",Евроремонт,,Балкон (1),,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/317442104
313435416,2,Квартира,м. Бульвар Рокоссовского (14 мин пешком),"Москва, Погонный проезд, 33",38.2/28.0/5.5,"5/9, Кирпичный",наземная,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79151159140,"Сдаем свое уютное семейное гнеждышко с хорошей аурой.
2-комнаты, 42 метра в кипричной 9-ти этажке с толстыми стенами, газом и лифтом. 
Подойдет для семьи с 1-2 детьми или пары без детей. 

Из плюсов (могу перечислять бесконечно, но ограничусь):
До м. Бульвар Рокоссовского 12 минут пешком или 3 остановки на трамвае
Качественный ремонт для себя, дорогая сантехника, ванна Jacob Dalifon
Раковина на кухне у окна
Для хозяйки новая газовая плита с керамической панелью и электрической духовкой
Две раздельные комнаты: детская-кабинет и спальня. 
Кондиционер и куча бытовой техники, включая электрическую мясорубку, блендер, вафельницу
Среди соседей все адекваты, на лестницах не курят, шумных и буйных нет. 

Ну и самое главное: квартира сдается вместе с приветливой домработницей, которая раз в месяц наведет тотальный порядок. 

Квартира в идеальном порядке и чистоте, готова к заселению.

Себя считаю арендодателем мечты. Живем в Испании, проведаем раз в год, а то и реже., 26 фото",Евроремонт,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/313435416
291053837,"3, Смежная",Квартира,м. Преображенская площадь (23 мин пешком),"Москва, Просторная улица, 15К2",47.0/38.0/6.0,4/5,,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79104890261, +79337874530","3-х комнатная квартира в одном из лучших районов Москвы - очень зелено, тихо и совсем недалеко от центра города (15-20 минут!).  Чисто, уютно, все необходимое  по мебели и бытовой тезнике в наличии. Санузел раздельный, балкон застеклен. Подъезд после ремонта - установлены камеры на входе и на этаже., 22 фото",Косметический,,Балкон (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,https://www.cian.ru/rent/flat/291053837
